#Score	Avg.Score	Loss	Avg.Loss
0.0	0.0	0.007870985668833569	0.007870985668833569
2.0	1.0	0.03294217531585218	0.020406580492342875
0.0	0.6666666666666666	0.0083038491659552	0.016372336716880317
-1.0	0.25	0.002669077287027252	0.01294652185941705
0.0	0.2	0.000563603707708742	0.010469938229075389
-1.0	0.0	0.003124273167918723	0.00924566071888261
1.0	0.14285714285714285	0.0018610992367871049	0.008190723364297539
0.0	0.125	0.00037760911399969363	0.007214084083010308
0.0	0.1111111111111111	0.0020597927125988315	0.006641385041853477
2.0	0.3	0.0036771055723693515	0.006344957094905064
0.0	0.2727272727272727	0.006990504101785196	0.006403643186439622
1.0	0.3333333333333333	0.0021921850798101872	0.0060526883442205024
0.0	0.3076923076923077	0.0005071854839402483	0.0056261112011220206
2.0	0.42857142857142855	0.002281263385396223	0.005387193499998749
1.0	0.4666666666666667	0.0012069899607873391	0.005108513264051322
0.0	0.4375	0.0003863733600342423	0.004813379520050255
0.0	0.4117647058823529	0.0002572681726234061	0.004545372970201617
-1.0	0.3333333333333333	0.0010937937884532788	0.004353618571215598
0.0	0.3157894736842105	0.00010411854687242409	0.004129960675197536
0.0	0.3	5.105355036195821e-05	0.003926015318955757
0.0	0.2857142857142857	5.947009436321426e-05	0.0037418941177846843
0.0	0.2727272727272727	3.635150841649763e-05	0.003573460362813403
0.0	0.2608695652173913	2.3197204321496237e-05	0.003419101095052885
-2.0	0.16666666666666666	0.001911140801988817	0.003356269416175216
0.0	0.16	8.865472000932684e-05	0.0032255648283285804
1.0	0.19230769230769232	0.0009619688365596394	0.0031385034440297747
0.0	0.18518518518518517	8.071246360755088e-05	0.003025251926236359
0.0	0.17857142857142858	0.0018012606076936272	0.002981537950574119
0.0	0.1724137931034483	6.55945210562936e-05	0.0028809881771424697
-1.0	0.13333333333333333	0.0008777886419693835	0.002814214859303367
-1.0	0.0967741935483871	0.0026838237704543775	0.002810008695146948
-1.0	0.0625	0.0009603296485289725	0.0027522062249401365
2.0	0.12121212121212122	0.002699090907760322	0.0027505966698740817
1.0	0.14705882352941177	0.001495724194373483	0.0027136886558887696
2.0	0.2	0.002109594480661106	0.0026964288223108365
0.0	0.19444444444444445	0.00023169149907438977	0.0026279638966653796
0.0	0.1891891891891892	0.00015553433720048913	0.0025611414761393014
0.0	0.18421052631578946	0.0015120333764078412	0.0025335333682516316
1.0	0.20512820512820512	0.0006623799484554101	0.0024855550754363438
1.0	0.225	0.001432464594235264	0.0024592278134063167
0.0	0.21951219512195122	0.004587342217111185	0.0025111330427649717
1.0	0.23809523809523808	0.0016081646514304378	0.0024896337953522448
-1.0	0.20930232558139536	0.0009890781586206294	0.002454737152637556
-1.0	0.18181818181818182	0.0008796456138492724	0.002418939617665095
0.0	0.17777777777777778	3.351534407733651e-05	0.002365930189363145
4.0	0.2608695652173913	0.0021337968405407953	0.002360883812214833
2.0	0.2978723404255319	0.0032635440302563336	0.0023800893487689076
2.0	0.3333333333333333	0.00285489912050652	0.002389981219013441
-1.0	0.30612244897959184	0.000988296185062089	0.0023613754019940255
1.0	0.32	0.0013957344226982707	0.0023420625824081107
2.0	0.35294117647058826	0.0018735632852215046	0.0023328763216789615
1.0	0.36538461538461536	0.0014062950874938732	0.0023150574517907868
2.0	0.39622641509433965	0.002364022298781331	0.0023159813168283443
4.0	0.46296296296296297	0.006707605551856354	0.002397307691551085
-2.0	0.41818181818181815	0.008029847728616132	0.002499717510406813
0.0	0.4107142857142857	0.0022095427010946503	0.002494535817383382
3.0	0.45614035087719296	0.003776813969505737	0.0025170319253153533
2.0	0.4827586206896552	0.004009715859254269	0.002542767855210852
2.0	0.5084745762711864	0.002725544148882747	0.002545865758493426
0.0	0.5	0.0017524743548520893	0.0025326425684327374
0.0	0.4918032786885246	0.001578759690689254	0.002517005144207434
2.0	0.5161290322580645	0.00509875079523578	0.002558646203094988
0.0	0.5079365079365079	0.0015334740476839197	0.002542373629199574
0.0	0.5	0.0037583671250736293	0.002561373527572606
3.0	0.5384615384615384	0.0034781317186844875	0.0025754774997435582
3.0	0.5757575757575758	0.0014223910843253998	0.0025580064934493437
3.0	0.6119402985074627	0.004915676242743338	0.002593195594185075
1.0	0.6176470588235294	0.005762003054306062	0.0026397957038927365
5.0	0.6811594202898551	0.005190285620349921	0.002676759325870377
-1.0	0.6571428571428571	0.0009864876660237438	0.002652612587872568
0.0	0.647887323943662	0.0013102500219979874	0.00263370607286025
1.0	0.6527777777777778	0.0013836427921948768	0.0026163440828510087
0.0	0.6438356164383562	7.34100779298726e-05	0.002581509370454829
3.0	0.6756756756756757	0.007361296899223282	0.002646101093816565
-2.0	0.64	0.0023201406568109147	0.0026417549546564893
1.0	0.6447368421052632	0.0009407857021494026	0.002619373780281396
